State,District,Contact Person,Phone No.,Email,Address
Chhattisgarh,Surguja,VIKRAMANK SINGH,7774-224017,icpssurguja[at]gmail[dot]com,OFFICE DISTRICT PROGRAMME OFFICER WOMEN AND CHILD DEVELOPMENT DEPARTMENT COLLECTORATE CAMPUS AMBIKAPUR SURGUJA CHHATTISGARH
Delhi,Central,Ms Parul,11-27655034,delhicentraldcpu[at]gmail[dot]com,OFFICE OF DISTRICT CHILD PROTECTION OFFICER SEWA KUTIR COMPLEX KINGSWAY CAMP NEW DELHI 110009
Delhi,East,Ritu,11-22770007,dcpumv7[at]gmail[dot]com,"District Child Protection Unit-VII Quarter No. 32-33, Block- 36 Type-I, Kalyanvas Delhi 110091"
Delhi,New Delhi,RITU,11-23411659,dcpund11[at]gmail[dot]com,Flat No.11 Block-2 First Floor Shankar Market Cannaught Place New Delhi -110001
Delhi,North,Ms Parul,11-27708338,dcpualipur[at]gmail[dot]com,"DCPU, North , DWCD, Alipur-110036"
Delhi,North East,Anju Kumari,11-22125035,dcpunortheast[at]gmail[dot]com,"Room no- 10 ,District child Protection Unit Sanskar Ashram Dilshad Garden New Delhi-110095"
Delhi,North West,Mr Arun,11-27601134,dcpunorthwest2[at]gmail[dot]com,Women Working Hostel near Aman Vihar Police Station Rohini Sector - 22
Delhi,South,Vasudha Singh,11-35696995,dcpusouthdelhi[at]gmail[dot]com,Kutir No.5 Kasturba Niketan Complex Lajpat Nagar New Delhi-24
Delhi,South East,Ms Anita Singh DCPO,11-20887340,dcpusoutheast00[at]gmail[dot]com,Kutir No.02 VCH Complex Kasturba Niketan Lajpat Nagar Delhi-110024
Delhi,South West,Mr Arunendra Narayan,11-28522407,dcpuswicpsix[at]gmail[dot]com,District Child Protection Unit-IX Nirmal Chhaya Complex Jail Road New Delhi-110064
Delhi,West,Sarita Kumar,11-28521091,dcpuwest04[at]gmail[dot]com,District Child Protection Unit Nirmal Chhaya Complex Jail Road New Delhi-110064
Goa,North Goa,Pallavi Dicholker,832-2235308,dcpunorthgoa[at]gmail[dot]com,"Apna Ghar Merces, Tiswadi , North Goa - Goa."
Goa,South Goa,Amanda Augusta Noronha,832-2426112,dcpusouthgoa[at]gmail[dot]com,"C-10-4 situated at Junta House Quarters, Pajifond, Margoa, South Goa-Goa"
Goa,South Goa,Amanda Augusta Noronha,832-2426112,dcpusouthgoa[at]gmail[dot]com,"C-10-4 situated at Junta House Quarters, Pajifond, Margoa, South Goa-Goa"
Gujarat,Ahmadabad,Divyakant Parmar,79-26587740,dcpu-gscps-ahm[at]gujarat[dot]gov[dot]in,"604, 6th FLOOR HAREKRISHNA COMPLEX OPP KOTHAWALA FLATE PALDI AHMEDABAD - 380006"
Gujarat,Amreli,Mr. Vishal U Joshi,2792-220308,dcpoamreli[at]yahoo[dot]in,district child protection unit. sevasadan -2.A block Room No -202.secound floor Amreli-365601
Gujarat,Anand,Parth I Thaker DCPU ANAND,2692-250910,dcpuanandunit[at]gmail[dot]com,Old Collector Office Near Circuit House Opp. Amul Dairy Anand - 388001
Gujarat,Arvalli,Dr Dilipsinh V. Bihola,2774-250174,dcpuarvalli[at]gmail[dot]com,Jilla Seva Sadan Ground Floor A block Room no. 04 Shamlaji Road Modasa dist - Arvalli
Gujarat,Banas Kantha,Dr Ashish J Joshi,2742-251800,dcpu-gscps-bk[at]gujarat[dot]gov[dot]in,District Child Protection Unit Banaskantha Jilla Seva Sadan 2 Joravarpeles Ground Flor Room No 34 35 Palanpur Banaskantha
Gujarat,Bharuch,Vivian Christian,2642-250315,dcpu-gscps-bha[at]gujarat[dot]gov[dot]in,district child protection unit bharuch b wing ground floor old collector office bharuch
Gujarat,Bhavnagar,Mr. N. B. Chauhan,278-2422072,dcpu-gscps-bhv[at]gujarat[dot]gov[dot]in,DISTRICT CHILD PROTECTION UNIT BAHUMALI BHAVAN T-16 3 rd FLOOR NR. S T STAND BHAVNAGAR
Gujarat,Botad,SHRI SUBHASHBHAI L. DAV,2849-271322,dcpu-bot[at]gujarat[dot]gov[dot]in,TO - BOTAD BLOCK NO - A-S-20 SECOND FLOOR A WING JILLA SEVA SADAN - KHAS ROAD BOTAD - 364710
Gujarat,Chhotaudepur,SHRI RAVIDAS JAYANTIBHAI RATHVA,2669-233385,dcpu-gscps-chh[at]gujarat[dot]gov[dot]in,District Child Protection Unit Block No A 4 2nd Floor Jilla Seva Sadan Collector Office Chhotaudepur
Gujarat,Dang,Chirag M Joshi,2631-220106,dcpudangs[at]gmail[dot]com,District Child Protection Unit Juni Collectore Office First Floor Ahwa Block Ahwa Dist Dang
Gujarat,DEVBHUMI DWARKA,PRAKASH M KHERALA,2833-234469,dcpudevbhumidwarka[at]gmail[dot]com,C-G-15-17-19 GROUND FLOOR JILLA SEVA SADAN LALPUR ROAD KHAMBHALIYA DIST DEVBHUMI DWARKA
Gujarat,Dohad,Shantilal Khemabhai Taviyad,2673-239020,dcpu-gscps-dah[at]gujarat[dot]gov[dot]in,"Room No-310, Third Floor, Jilla Seva Sadan, Chhapri, Dahod-389151"
Gujarat,Gandhinagar,SANJAY PATEL,79-23245400,dcpu-gscps-gnr[at]gujarat[dot]gov[dot]in,A BLOCK GROUND FLOOR SAHYOG SANKUL BUILDING DISTRICT LEVEL OFFICES NR.PATHIKASHRAM BUS STAND SECTOR-11 DI.GANDHINAGAR
Gujarat,Gir Somnath,Dharmendra ram,91-7600270926,ramdk140[at]gmail[dot]com,opp power plant gate ambujanagar kodinar
Gujarat,Jamnagar,Ranchhod J Shiyar,288-2571098,dcpu-gscps-jam[at]gujarat[dot]gov[dot]in,Office No. 61 Sevasadan -4 Rajpark Rajkot Highway Jamnagar - Gujarat.
Gujarat,Junagadh,Rameshbhai mahida,285-2960202,junagadhdcpu[at]gmail[dot]com,district child protection unit pankaj bungloz in front of chruch near gandhi chock railway station road junagadh
Gujarat,Kachchh,Vipulkumar doriya,2832-252613,dcpu-gscps-kut[at]gujarat[dot]gov[dot]in,"401,Third Floor, Bahumali Bhavan, Bhuj-Kutch"
Gujarat,Kheda,MAHESHBHAI PATEL,268-2563077,dcpu-gscps-khe[at]gujarat[dot]gov[dot]in,C-20 BLOCK-C SARDAR PATEL BHAVAN MILL ROAD NADIAD DISTRICT KHEDA - 387001
Gujarat,Mahesana,Khemabhai Bhikhabhai Vaniya,2762-220152,dcpu[dot]meh1[at]gmail[dot]com,DISTRICT CHILD PROTECTION UNIT NEAR PLANNING OFFICE RAJ MAHEL COURT SANKUL MEHSANA
Gujarat,Mahisagar,Jignesh P Panchal,2674-250531,dcpumahisagar[at]gmail[dot]com,212 second floor seva sadan collector office compound lunawada mahisagar
Gujarat,MORBI,Vipul sherasihya,2822-240098,dcpumorbi[at]gmail[dot]com,"District Child Protection Unit Morbi,Block-C,Room No.31/32,Ground Floor,Jilla Seva Sadan,Shobheshwar Road Morbi"
Gujarat,Narmada,Lopa D Vyas,2640-223575,dcpu[dot]narmada[at]gmail[dot]com,Room No-6 Ground Floor Jilla Seva Sadan Rajpipla Dist.- Narmada 393145
Gujarat,Navsari,Hemlataben G Ganji,2637-281440,dcpu_nav2012[at]yahoo[dot]com,BLOCK-C FIRST FLOOR OLD COLLECTOR BUILDING JUNATHANA NAVSARI Gujarat
Gujarat,Panch Mahals,jignesh p panchal,2672-243480,dcpu-gscps-pan[at]gujarat[dot]gov[dot]in,District Child Protection Unit Room No 59 60 Seva Sadan 2 Collector Office Compound Godhra Panchmahal
Gujarat,Patan,PRAJAPATI KETANBHAI A,2766-220600,dcpupatan1[at]gmail[dot]com,DISTRICT CHILD PROTECTION UNIT 2ND FLOOR COLLECTOR OFFICE PATAN
Gujarat,Porbandar,Makwana Chandrikaben P,286-2220101,dcpu-gscps-por[at]gujarat[dot]gov[dot]in,jilla seva sadan 2 porbandar
Gujarat,Rajkot,Alpesh Giri U Goswami,281-2458590,dcpu-gscps-raj[at]gujarat[dot]gov[dot]in,"BAHUMALI BHAVAN, FOURTH FLORE, RACE COURSE ROAD RAJKOT"
Gujarat,Sabar Kantha,Sureshbhai S pandor,2772-246122,dcpu-gscps-sk[at]gujarat[dot]gov[dot]in,Rajkamal Chembers 1st Floor opp. Paramount hotel nr. nyay mandir pick up stand pologround himmatnagar
Gujarat,Surat,VIJAYKUMAR G PARMAR,261-2651477,vijaymsw28[at]gmail[dot]com,"JILLA SAMAJ SURAKSHA KACHERI,A-BLOCK,GROUND FLOOR,JILLA SEVA SADAN-2,ATHWALINESW, SURAT"
Gujarat,Surendranagar,Rohit Gharsenda,2752-285712,surendranagardcpu[at]gmail[dot]com,District Child Protection Unit Block A Bahumali Bhavan Kherali road surendranagar
Gujarat,Tapi,District Child Protection Officer Tapi,2626-222203,dcputapi[at]gmail[dot]com,District Child Protection Unit.Block No-5.1st floor. Jilla Sava Sadan Panvadi vyara. Tapi.
Gujarat,Vadodara,Mr.Amit Vasava,265-2424500,dcpuvadodara[at]gmail[dot]com,room no 816-817 C Block Narmada bhavan Jail road Vadodara
Gujarat,Valsad,Rakesh R Patel,2632-244663,dcpu-gscps-val[at]gujarat[dot]gov[dot]in,District Child Protection Unit-Valsad 3rd Floor Jilla Seva Sadan-2 Tithal Road Valsad
Haryana,Ambala,Mrs Mamta Rani DCPO Officiating,171-2530051,dcpo[dot]amb[at]gmail[dot]com,"Punia brother building ,near Badshahi bagh gurudawara, court road Ambala city , District Ambala Haryana"
Haryana,Bhiwani,Sh Sandeep kumar,1664-297352,dcpobhiwani1[at]gmail[dot]com,"District Child Protection Unit , Near Red Cross Society , Bal Bhawan Compus, Zoo road Bhiwani"
Haryana,CHARKI DADRI,Neelkamal,1250-270272,dcpodadri[at]gmail[dot]com,dcpo office charkhi dadri near bus stand
Haryana,Faridabad,Garima Singh Tomar Protection Officer,129-29840044,dcps[dot]faridabad[dot]icps[at]gmail[dot]com,"Children Home Bal Bhawan, Near NIT-1, Bus Stand, NIT-1, Faridabad, Haryana-121005"
Haryana,Fatehabad,Surjeet Singh,1667-222606,dcpuftb[at]gmail[dot]com,District Child Protection Office Fatehabad. Kothi No. C-1 Near sainik board Purani kachahri Fatehabad Pin 125050 Ph.No. 01667-222606
Haryana,Gurugram,Aabid Husain,124-2300098,dcps[dot]ggn[at]gmail[dot]com,Vikas Sadan First Floor in Front of Pollution Office Gurugram
Haryana,Hisar,Sunita Yadav,1662-234344,dcpuhsr12[at]gmail[dot]com,"Room no. 16-18 ,Red cross Society ,ADM Block -A, Hisar , Haryana-125001"
Haryana,Jhajjar,Sunita,1251-299475,dcpsjhajjar[at]gmail[dot]com,District child protection unit mini secretariat bal bhawan gurgaon road jhajjar
Haryana,Jind,Sh. Vijay,1681-245003,icpsjind1[at]gmail[dot]com,District Child Protection Offcier Room no-05 1st floor consumer court building Mini Secretariat Old building jind Haryana
Haryana,Kaithal,Sh Pardeep Kumar,1746-234525,dcpoktl[at]gmail[dot]com,District Child Protection Officer Old DC Campus Building. Near Canal Rest House Karnal Road Kaithal
Haryana,Karnal,Mrs. Reena Rani,184-2272020,dcpskrl1[at]gmail[dot]com,"District Child Protection Unit, Karnal Mahila Ashram Complex, Near DAV School"
Haryana,Kurukshetra,Indu Sharma,1744-222932,kurukshetradcpo2022[at]gmail[dot]com,"Room no. 219, First floor, Mini Secretariat Kurukshetra"
Haryana,Mahendragarh,Sandeep kumar,1282-254721,icpsnarnaul[at]gmail[dot]com,DCPU Mohalla Shastri Nagar Near Star Kids Play School Mohindergarh Road Narnaul Pin No 123001
Haryana,Nuh,Hasim,1267-274270,icpsmewat[at]gmail[dot]com,building no.3A MDA Campus Nagli Road Nuh
Haryana,Palwal,SATENDER KUMAR,1275-299622,dcpspwl2023[at]gmail[dot]com,"Mini Sec R.No.111-A 1st Floor, Mini Secretariat, Kushlipur-Palwal"
Haryana,Panchkula,Nidhi Malik,172-2582220,dcpspanchkula[at]gmail[dot]com,"Room No 14, 1st Floor New Mini Secretariat Sector 1 Panchkula"
Haryana,Panipat,Smt Nidhi Gupta,180-2641574,icpspnp[dot]wcd[at]gmail[dot]com,District Child Protection unit Room no-407 4th floor Mini Secretariat Panipat
Haryana,Rewari,Deepika Yadav,1274-221852,icpsrewari[at]gmail[dot]com,Red Cross Building Room No 6 and 8 Near Ambedkar Chowk Rewari
Haryana,Rohtak,KULDEEP SINGH,1262-252920,dcpurtk[dot]wcd[at]gmail[dot]com,ZILA VIKAS BHAWAN ROOM NO 2018 ROHTAK
Haryana,Sirsa,Dr Anjana Dudy,1666-298191,dcpusrs[at]gmail[dot]com,"District Child Protection Unit Room no 308, exercise and taxation building, Mini Sectriate Sirsa"
Haryana,Sonipat,Dr Ritu Gill,130-2222736,dcposonipat[at]gmail[dot]com,Room No. 304 /306 third floor Mini Secretariat Sonipat
Haryana,Yamunanagar,Ranjan Sharma Officiating DCPO,1732-237050,ynricps[at]gmail[dot]com,SCO-1 30P ground FLOOR SECTOR-17 HUDA JAGADHRI
Himachal Pradesh,Bilaspur,Shri Harish Kumar Mishra,1978-221614,dcpubilaspur[at]gmail[dot]com,District Child Protection Unit 59-60D Near Viswakarma Mandir Diara Sector Bilaspur H.P. 174001
Himachal Pradesh,Chamba,Sh Rakesh kumar,1899-220306,dcpuicpscba[at]gmail[dot]com,District Child Protection Officer Chamba Gramin Vikas Parisar DRDA 2nd Floor Hardaspur Chamba DIstt. Chamba H.P
Himachal Pradesh,Hamirpur,Sh Tilak Raj Acharya DCPO Hamirpur HP,1972-223344,dcpo-ham-hp[at]gov[dot]in,District Child Protection Unit Hamirpur House No 153 Ward No 8 Naya Nagar MC Hamirpur H.P
Himachal Pradesh,Kangra,Rajesh Kumar,1892-222645,dcpokangra[at]gmail[dot]com,"District Child Protection Unit C/o BDO Office, Near Paryas Bhawan, Shyam Nagar Road, Dharamshala District Kangra (H.P) 176215"
Himachal Pradesh,Kinnaur,Vinod Kumar Goutam,1786-222107,dcpukinnaur[at]gmail[dot]com,District Child Protection Officer shanti niwas near do nallu reckong peo Kinnaur Hp
Himachal Pradesh,Kullu,Smt Vina Sharma,1902-225233,dcpukullu16[at]yahoo[dot]com,District Child Protection Unit Kullu Below Hungry Point Ritu Raj Complex Dhalpur Kullu 175101
Himachal Pradesh,Lahul And Spiti,Hira Nand,1900-202730,dcpukeylong[at]gmail[dot]com,District Child Protection Officer Below K.C.C Bank keylong Distt Lahul Spiti At Keylong HP-175132
Himachal Pradesh,Mandi,N R Thakur,1905-221148,dcpumnd2014[at]yahoo[dot]in,District Child Protection Officer Mandi house No. 314-6 Mahajan Bazaar Mandi HP 175001
Himachal Pradesh,Shimla,Mrs Mamta Paul,177-2627362,dcpushimla[at]gmail[dot]com,District Child Protection Unit Latawa House Nigam Vihar Shimla Himachal Pradesh Pin 171002
Himachal Pradesh,Sirmaur,Rama Raitka,1702-225608,dcpusirmour123[at]gmail[dot]com,District Child Protection Officer Veetrag Motor Hospital Round Gunnu Ghat Nahan-173001
Himachal Pradesh,Solan,Surender Tegta,1792-225388,dcposolan[at]gmail[dot]com,District Child Protection Officer Shandil Niwas near Kalyan Bhawan Solan HP 173212
Himachal Pradesh,Una,Sh. Kamaldeep Singh,1975-225850,districtchildprotectionunituna[at]gmail[dot]com,"Office of the District Child Protection Officer Una, Old DC Office room no 209/208 Una, Distt Una HP. Pin Code-174303"
Jammu and Kashmir,Anantnag,Mr Muzaffar Ahmad Malik,1932-223477,dcpoicpsang[at]gmail[dot]com,"Satho Complex, Iqbal Market, Near JK Bank"
Jammu and Kashmir,Badgam,Mr Ubaid Khazir DCPO,1951-255048,icpsbudgam[at]gmail[dot]com,Main chowk budgam
Jammu and Kashmir,BANDIPORA,Mr sahir Majeed,195-225727,dcpubpr05[at]gmail[dot]com,Ward No. 06 Tawheed Abad Bagh Bandipora
Jammu and Kashmir,Baramulla,MR SAJAD AHMAD BHAT,1952-317564,dcpubla[at]gmail[dot]com,NATIONAL HIGHWAY KANISPORA LINK ROAD SINGHPORA BARAMULLA
Jammu and Kashmir,Doda,Tariq parveaz qazi,1996-233388,missionvatsalyadoda[at]gmail[dot]com,Near sports stadium doda j&k
Jammu and Kashmir,GANDERBAL,Bashir Ahmad Malik,194-2956178,dcpoicpsganderbal[at]gmail[dot]com,Mini Secretrait Ganderbal
Jammu and Kashmir,Jammu,Mamta Rajput,191-2437175,dcpujammuicps[at]gmail[dot]com,595-A Gandhi Nagar Jammu
Jammu and Kashmir,Kathua,VARUN KUMAR CHOUDHARY,192-2232877,dcpukathuaicps[at]gmail[dot]com,"Ward No.- 02, Near Kashmir Rice Mill, Opposite Nagri Bus Stand, Kathua - 184101"
Jammu and Kashmir,KISHTWAR,Mr. Zubair Amhed Lone,1995-295156,dcpokishtwar[at]gmail[dot]com,"House no.124, Ward no.10 Om Mehta Road Shakti Nagar, Kishtwar"
Jammu and Kashmir,KULGAM,Snobar Altaf,193-295345,dcpuicpskulgam[at]gmail[dot]com,Kulgam
Jammu and Kashmir,Kupwara,Mr Hidaitullah Mir,1955-252090,icpskupwara[at]gmail[dot]com,City centre Branwari kupwara.
Jammu and Kashmir,Poonch,DISTRICT CHILD PROTECTION OFFICER POONCH,2201-1965220108,icpspoonch[at]gmail[dot]com,DISTRICT CHILD PROTECTION UNIT ICPS POONCH WARD NO. 05 NEAR STADIUM MIR COLONY POONCH
Jammu and Kashmir,Pulwama,Mr Azhar Amin,1933-240666,dcpoicpspulwama[at]gmail[dot]com,Washbugh Pulwama
Jammu and Kashmir,Rajauri,Mr. Wakeel Ahmad Bhat,196-262790,dcpoicpsr[at]gmail[dot]com,Near Covent School Rajouri
Jammu and Kashmir,RAMBAN,RAHUL GUPTA,1998-266789,icps[dot]ramban[at]gmail[dot]com,DCPU RAMBAN
Jammu and Kashmir,REASI,Sachin Sharma,91-245604,icpsreasi[at]gmail[dot]com,R/o ward no 2 Gadal Near Garden Estate Banquet Hall Vijaypur Road Reasi
Jammu and Kashmir,Samba,Mr. Nawaz Sharief,1923-1923242323,icpssamba123[at]gmail[dot]com,"W.No- 11, Near Power House, Samba"
Jammu and Kashmir,SHOPIAN,Ibrar Hussain,1933-261787,dcpuicpsshopian22[at]gmail[dot]com,Bongam Shopian
Jammu and Kashmir,Srinagar,Mukhtar Ahmad Dar JKAS DCPO,194-2492597,dcpusrinagar14[at]gmail[dot]com,55A Sir Syed Abad Bemina Near IMI Boys Wing
Jammu and Kashmir,Udhampur,Kanika Gupta,1992-278084,icpsudhampur[at]gmail[dot]com,"Govt. College for Women , Kallar Udhampur"
Jharkhand,Bokaro,ANITA JHA,6542-222099,dcpsbokaro[at]gmail[dot]com,WOMEN HOSTAL CAMP-2 NEAR DC OFFICE BOKARO
Jharkhand,Chatra,ARUNA PRASAD,6541-253034,dcpschatra[at]gmail[dot]com,DCPU Office Vikash Bhawan 2nd Floor chatra
Jharkhand,Deoghar,Meera Kumari,91-6201930442,dcpsdeoghar[at]gmail[dot]com,DC office deoghar
Jharkhand,Deoghar,Meera Kumari,91-6201930442,dcpsdeoghar[at]gmail[dot]com,DC office deoghar
Jharkhand,Dhanbad,Sadhana kumari,326-2312401,dcpsdhanbad[at]gmail[dot]com,District protection society c.o-District social welfare department collectorate building-Dhanbad
Jharkhand,Dumka,Prakash Chandra,64342-226032,dcpsdumka[at]gmail[dot]com,Hizla road purana dumka 814101
Jharkhand,EAST SINGHBUM,Amrita Kumari DCPO,657-2296800,dcpu-esjsr[at]jharkhandmail[dot]gov[dot]in,"DC office, G-7, Near Old Court , Sakchi, Jamshedpur-831001"
Jharkhand,Garhwa,DCPO,6561-222335,dcpugarhwa[at]gmail[dot]com,Opposit Civil Court Garhwa
Jharkhand,Giridih,jitu kumar DCPO,6532-250866,dcpsgiridih[at]gmail[dot]com,pwd building near new circuit house giridih-815301
Jharkhand,Godda,Ritesh Kumar,0-8809936690,dcpsgodda[at]gmail[dot]com,District Child Protection Unit 1st Floor District Social Welfare Office Collectoriat Campus P.O.- Godda District- Godda JHARKHAND- 814133.
Jharkhand,Gumla,DCPU GUMLA,6524-223081,dcpsgumla[at]gmail[dot]com,Vikash Bhawan Gumla
Jharkhand,Hazaribagh,DCPO,6546-264737,dcpshazaribagh[at]gmail[dot]com,AT- DCPO A-304 THIRD FLOOR NEW COLLECTORATE CAMPUS HAZARIBAG
Jharkhand,Jamtara,Anju Kumari Poddar,6433-222011,dcpsjamtara[at]gmail[dot]com,District Protection Society C.O- District Social Welfare Deptt. Collectorate Building Jamtara
Jharkhand,Khunti,Md Iltaf Khan,6528-220047,dcpskhunti[at]gmail[dot]com,DISTRICT CHILD PROTECTION UNIT CARE OF DISTRICT SOCIAL WELFARE OFFICE KHUNTI PIN 835210 JHARKHAND
Jharkhand,Kodarma,SANTOSH KUMAR THKAUR,6534-252343,dcpskoderma[at]gmail[dot]com,"District child protection unit ,collectorate building ,koderma, district koderma pin code 825410"
Jharkhand,Latehar,RINA KUMARI,6565-247422,dcpslatehar[at]gmail[dot]com,2ND FLOOR DRDA BUILDING SOCIAL WELFARE DEPARTMENT DCPU LATEHAR PINCODE 829206
Jharkhand,Lohardaga,Birendra Kumar,6526-222017,dcpslohardaga[at]gmail[dot]com,District Child Protection Unit 2nd floor Pandey Ganpat Rai Building Collectriat Lohardaga
Jharkhand,Pakur,BYAS THAKUR,6435-222121,dcpspakur[at]gmail[dot]com,DIST. CHILD PROTECTION UNIT DEPT. OF SOCIAL WELFARE DIST. COLLECTORATE PAKUR PIN 816107
Jharkhand,Palamu,PRAKASH KUMAR,65-9430324827,dcpspalamu[at]gmail[dot]com,DISTRICT CHILD PROTECTON UNIT OFFICE OLD COMMISSIONER OFFICE NEAR CHHAH MUHAN CHOWK DALTONGANJ DIST PALAMU STATE JHARKHAND PIN 822101
Jharkhand,Ramgarh,Shanti Bage,553-261538,dcpsramgarh[at]gmail[dot]com,District child protection unit District collectoriats B block Social Welfare Office Chhatarmandu Ramgarh cantDistrict Ramgarh Pin825101
Jharkhand,Ranchi,Ved Parkash Tiwary,0-6513505516,dcpsranchi[at]gmail[dot]com,Collectoriate Building Ranchi-834001 Block-B Room No- 111
Jharkhand,Sahibganj,Punam Kumari,6436-000000,dcpssahebganj[at]gmail[dot]com,"DCPS Office, Sahebganj, Pahadiya Bhawan, Meso Office, 1st Floor Near SDO Khoti, Sakrugarh, PO.- Sahebganj PS- Jirwabari, Dist- Sahebganj, Jharkhand, PIN- 816109"
Jharkhand,Saraikela Kharsawan,Santoash Kumar Thakur,6597-234167,dcpsseraikela[at]gmail[dot]com,District Child Protection Unit Samudaik Bhawan Seraikella Pin 833219
Jharkhand,Simdega,Sumitra Baraik,6546-225036,dcpssimdega[at]gmail[dot]com,District Information and Public Relation Office first floor near Court Ground Simdega- 835223
Jharkhand,West Singhbhum,PUNITA TIWARI,6582-8409788074,dcpswestsinghbhum[at]gmail[dot]com,Vikash Bhawan FIRST FLOOR CHAIBASA WEST SINGHBHUM JHARKHAND
Karnataka,Bagalkot,Dr Smt Veena M,8354-295345,dcpobagalkot[at]gmail[dot]com,DISTRICT CHILD PROTECTION UNIT STREE SHAKTI BHAVAN SECTOR NO-4 NAVANAGAR BAGALKOT
Karnataka,Ballari,Sri Jalalappa A K,8392-294473,dcpuballari[at]gmail[dot]com,Shanthi dhama compound beside contonment post office cantonment ballari
Karnataka,BELAGAVI,Shri Mahantesh Bhajantri,831-2474111,belgaumdcpo[at]gmail[dot]com,District Child Protection Unit Suvarn Soudha Belagavi-590020
Karnataka,Bengaluru Rural,Anithalakshmi S,80-29560034,dcpobrural2012[at]gmail[dot]cm,Zilladalith Bhavan Second floor Room no206 Opposite to vishwanathapur Police station Beerasandra Village Devanahalli taluk Bangalore Rural district 562110
Karnataka,BENGALURU URBAN,NAGAVENI Y,80-29523458,dcpoblr[at]gmail[dot]com,"District Child Protection unit ,Behind Kidwai Hospital, Dr. M H Marigowda Road ,Near Child Welfare Committe,Bangalore-560029"
Karnataka,Bidar,Gururaj,8482-234003,dcpobidar[at]gmail[dot]com,Behind Land Army Office Mailoor Bidar.
Karnataka,Chamarajanagar,Sri Cheluvaraj N,8226-222354,icpschamarajanagar[at]gmail[dot]com,127 Ist Floor District administrative building zilla adalitha bhavan chamarajanagar
Karnataka,Chikkaballapura,NAUTAJ B,8156-277113,dcpocbpur[at]gmail[dot]com,"District Child Protection Unit, FB-8, Zilla Adalitha Bhavan, Shidlaghatta Road, Chikkaballapura District-562101"
Karnataka,Chikkamagaluru,LOKESHWARAPPA P,8262-295654,icpsckm[at]gmail[dot]com,"District Child Protection Unit, Taluku Adalita Souda, 2nd Floor, Basavanahalli Main Road, Chikkamagaluru -577101"
Karnataka,Chitradurga,SAVITHA C,8194-295822,dcpocta[at]gmail[dot]com,Dist Child Protection Officer Dist Child Protection Bhalabavana Avarana Near Dist Stedium Chitradurga 577501
Karnataka,Dakshin Kannad,Sri Kumara,824-2440004,dcpu[dot]mnglr[at]gmail[dot]com,Deputy Commissioner office building 1st floor Mangaluru 575001
Karnataka,Davangere,KAVITHA T N,8192-222700,dcpudvg11[at]gmail[dot]com,"District Child Protection unit Toy train park District Bala bavana,J.H Patel Badavane,Shamanuru Road, Davanagere 577004"
Karnataka,Dharwad,Neeta Wadkar,836-2742420,dcpudwd[at]gmail[dot]com,Govt OBSERVATION HOME OPP B D JATTHI HOMEOPATHIC HOSPITAL D C COMPOUND DHARWAD
Karnataka,Gadag,Smt. Rafika Hallur,8372-250758,dcpogadag[at]gmail[dot]com,"District Child Protection unit Room No. 225, 2nd floor, DC Office, Gadag"
Karnataka,Hassan,Santhosh D,8172-231360,dcpuhas12[at]gmail[dot]com,District Child Protection Unit Sampige road near Masiedhi KR Puram Hassan-573201
Karnataka,Haveri,Smt Annapurna Sangalad,8375-233062,dcpuhaveri[at]gmail[dot]com,"District Child Protection Officer District Child Protection Unit Vidya Nagar East, P.W.D Quarters, Opposite Shree Anjaneyya Temple Haveri Dist Haveri"
Karnataka,Kalaburagi,Manjula V Patil,8472-243219,dcpuglb[at]gmail[dot]com,GOVT OBSERVATION HOME OPP CHANDRASHEKAR PATIL STADIUM KALABURGI
Karnataka,Kodagu,Iraswamy B,8272-228800,dcpokodagu[at]gmail[dot]com,"OFFICE OF THE DISTRICT CHILD PROTECTION UNIT SHANTHI NILAYA , CONVENT JUNCTION MADIKERI-571201"
Karnataka,Kolar,Ms. Nagarathana V,8152-200166,dcpuklr[at]gmail[dot]com,"District Child Protection Unit, Muskam A Block andersonpet post KGF Taluk Kolar District - 563113"
Karnataka,Koppal,Mahantaswami Pujar,8539-225030,dcpukoppal[at]gmail[dot]com,DISTRICT CHILD PROTECTION OFFICER DISTRICT CHILD PROTECTION UNIT DISTRICT ADMINISTRATIVE OFFICE HOSPET ROAD KOPPAL
Karnataka,Mandya,Rashmi S,8232-223222,dcpumandya[at]gmail[dot]com,"District Child Protection Officer District Child Protection Unit, Door No 1895, 1st floor, Yoganarasimha complex 6th Cross, Subhash Nagara Mandya-571401"
Karnataka,Mysuru,YOGESH N T,821-2543003,dcpumysore[at]gmail[dot]com,"No.CA 15-17, Anjanadri Road, 2nd phase , Vijayanagara 4th stage, Mysuru-570032"
Karnataka,Raichur,Sri Mudukappa H,8532-226226,dcpurcr[at]gmail[dot]com,District Child Protection Unit No.1-9-137 Near Maremma Temple Azad Nagar Raichur.584101
Karnataka,Ramanagara,Rajini R,80-29655500,dcpurmng[at]gmail[dot]com,"Office of the District Child Protection Unit , Room no 307, 2nd Floor, District majestic office Ramanagara-562159"
Karnataka,Shivamogga,Manjunatha R,8182-295709,dcposmg[at]gmail[dot]com,District child protection unit observation home building 100 ft road alkola shimoga
Karnataka,Tumakuru,Smt Dinesh R M,816-2956699,dcpo[dot]tumkur[at]gmail[dot]com,"District child protection unit Disrict Bala Bhavana, M G Road, Tumakuru. pin code-572101"
